"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","symbol","genename"
"ENSG00000183840",0.376642185119344,-0.245435527070072,0.441951505534482,0.659631599370596,0.905380465592262,-5.3738518807222,"2863","GPR39","G protein-coupled receptor 39"
"ENSG00000243431",0.110373379952653,-2.12747812511785,0.182171785266295,0.855875840919167,0.963052179409243,-5.37386466769077,"645160","RPL5P30","ribosomal protein L5 pseudogene 30"
"ENSG00000104901",-0.00573778434895811,-1.74450355075173,-0.00618534720520455,0.995079137333812,0.998648755839966,-5.37387238142942,"27120","DKKL1","dickkopf like acrosomal protein 1"
"ENSG00000166527",0.461895261152143,-0.890872931271868,0.506595326564083,0.613732747870792,0.889825427241262,-5.37395494136284,"338339","CLEC4D","C-type lectin domain family 4 member D"
"ENSG00000171357",-0.305955194047742,0.444488448350812,-0.632166732548201,0.528951875452722,0.86068065714199,-5.37399984862861,"541468","LURAP1","leucine rich adaptor protein 1"
"ENSG00000282133",0.261852222166425,-2.38839188591175,0.265237653136149,0.791459941152125,0.947077532446367,-5.37403923427347,"28633","TRBJ1-3","T cell receptor beta joining 1-3"
"ENSG00000156052",-0.424483856308913,6.44361530060932,-1.25903635332529,0.211417617853109,0.680610945903537,-5.37406384409245,"2776","GNAQ","G protein subunit alpha q"
"ENSG00000204624",-0.343397230300383,-0.849902306052768,-0.332564350969315,0.74027093197217,0.93275069533885,-5.3741665702534,"57540","DISP3","dispatched RND transporter family member 3"
"ENSG00000228857",0.0610403708338831,-1.75433115980882,0.111946856638358,0.911125933912847,0.978841764501013,-5.37422311827249,"101060091","ACTR3-AS1","ACTR3 antisense RNA 1"
"ENSG00000237781",-0.450522609571399,1.87215110161528,-0.817135408625889,0.416104814645875,0.808552656316515,-5.37424907940722,"100289061","ADAMTSL4-AS2","ADAMTSL4 antisense RNA 2"
"ENSG00000176769",-0.180871825997512,-1.02387028186742,-0.123774879948356,0.901781813738824,0.976598285982227,-5.37430233801902,"256536","TCERG1L","transcription elongation regulator 1 like"
"ENSG00000232004",0.101842445979007,-1.57636946050419,0.205686054643132,0.837521356806206,0.95908818725306,-5.3744423592797,"399748","CAP1P2","CAP1 pseudogene 2"
"ENSG00000214711",0.0504483425941455,-2.13827144801121,0.0645276604207408,0.948699560366988,0.98837796718959,-5.37444438181474,"440854","CAPN14","calpain 14"
"ENSG00000127399",0.662057015201566,4.15620915538707,1.08210723417638,0.282224127766572,0.72933128289935,-5.3746655210983,"65999","LRRC61","leucine rich repeat containing 61"
"ENSG00000171223",0.847947160460782,8.0094947611963,1.24897791145784,0.215055860255308,0.683404637304803,-5.37468019815612,"3726","JUNB","JunB proto-oncogene, AP-1 transcription factor subunit"
"ENSG00000047457",1.03072874061185,1.75345916628855,0.780549895432436,0.43720647312378,0.820735982667658,-5.37476821981549,"1356","CP","ceruloplasmin"
"ENSG00000161671",0.478062314833787,6.60446291694735,1.25995081091535,0.211089107785479,0.680531575410284,-5.37484573191533,"284361","EMC10","ER membrane protein complex subunit 10"
"ENSG00000205853",0.255818863587074,0.242639166547515,0.593415554877169,0.554457697414444,0.870841833041091,-5.37492878039497,"10737","RFPL3S","RFPL3 antisense"
"ENSG00000166169",0.389207271698237,4.79702754622996,1.16570455117309,0.246950774368752,0.706765907602487,-5.37493710696358,"27343","POLL","DNA polymerase lambda"
"ENSG00000271133",0.257438568668378,-0.432736319295753,0.48478279539941,0.629060637896247,0.896150747830839,-5.37507893110263,"101927811","ITGB8-AS1","ITGB8 antisense RNA 1"
"ENSG00000225051",0.0490589727776305,-1.71917286178201,0.0734509194343464,0.941617550482671,0.986784531422594,-5.37512799706376,"729595","HMGB3P22","high mobility group box 3 pseudogene 22"
"ENSG00000196338",0.344023249734087,1.4307956141769,0.721766658550952,0.472392175864377,0.837549426437985,-5.37526245163312,"54413","NLGN3","neuroligin 3"
"ENSG00000173436",-0.251666806824689,2.94487837194296,-0.931518209888907,0.354188412169594,0.773612668555112,-5.37532843242979,"440574","MICOS10","mitochondrial contact site and cristae organizing system subunit 10"
"ENSG00000146433",-0.321147242941956,5.68392818555669,-1.24111418765856,0.21793206931932,0.685427989933445,-5.37538762744166,"57583","TMEM181","transmembrane protein 181"
"ENSG00000254815",1.02956277973703,3.61068855139224,0.859675470415669,0.392353596078179,0.79673144030349,-5.375427301101,"692247","LMNTD2-AS1","LMNTD2 antisense RNA 1"
"ENSG00000181036",0.618790870790213,1.47477608518032,0.737962939908223,0.462542182868284,0.833268420931467,-5.37547245891612,"343413","FCRL6","Fc receptor like 6"
"ENSG00000100271",0.196402137515718,2.44580739724781,0.870102269459034,0.386662168480402,0.79403754817008,-5.37559965610272,"25809","TTLL1","TTL family tubulin polyglutamylase complex subunit L1"
"ENSG00000113448",-0.68927015721906,4.44347860872817,-1.18064780178514,0.240991706105987,0.70306750060899,-5.37563849195163,"5144","PDE4D","phosphodiesterase 4D"
"ENSG00000183773",0.318869640157155,1.17380111694175,0.653910750216819,0.51491081777879,0.856630509758566,-5.37565001974827,"150209","AIFM3","AIF family member 3"
"ENSG00000230099",0.219048684701749,-2.74842708649075,0.24446813401269,0.807449519649835,0.951435817003953,-5.37565129221647,"28611","TRBV5-4","T cell receptor beta variable 5-4"
"ENSG00000011347",0.521757119127749,3.11999246043432,0.964120403569984,0.33768376909509,0.765118075361887,-5.37569071825779,"9066","SYT7","synaptotagmin 7"
"ENSG00000111981",0.343880050788794,-1.17964606361973,0.364061578171181,0.716703911018635,0.926093752705471,-5.37573529659211,"80329","ULBP1","UL16 binding protein 1"
"ENSG00000178965",0.104410613567008,-2.33177161818453,0.11324759009005,0.910097720008223,0.978508305267736,-5.37581624859013,"127254","ERICH3","glutamate rich 3"
"ENSG00000101198",0.19354779439762,-1.28300431172568,0.100006412923819,0.920571563579824,0.980410599313134,-5.37581888999702,"128414","NKAIN4","sodium/potassium transporting ATPase interacting 4"
"ENSG00000159164",0.589782276954447,2.51732091562228,0.897386460611155,0.372013436477865,0.784748087580407,-5.37595644305895,"9900","SV2A","synaptic vesicle glycoprotein 2A"
"ENSG00000164929",-0.556352670484954,0.637733348490697,-0.642137220513658,0.52248896772907,0.858442349845439,-5.37600414816396,"79870","BAALC","BAALC binder of MAP3K1 and KLF4"
