"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","symbol","genename"
"ENSG00000156787",-1.24201005386135,3.02993756110859,-5.10137547880965,1.9824720572164e-06,0.00859665966410938,4.77306856970445,"93594","TBC1D31","TBC1 domain family member 31"
"ENSG00000187951",-1.45360511457134,2.5337998137774,-4.94933904423207,3.65678711877635e-06,0.0105941578943629,4.20689031749822,"100288637","LOC100288637","OTU deubiquitinase 7A pseudogene"
"ENSG00000113456",-1.16182195442956,4.714383389334,-4.94880023895895,3.66467142167986e-06,0.0105941578943629,4.1541762720018,"5810","RAD1","RAD1 checkpoint DNA exonuclease"
"ENSG00000154124",-1.04658534708012,5.252265315671,-4.86160499903468,5.18491793930887e-06,0.0117498718783387,3.81989060070459,"90268","OTULIN","OTU deubiquitinase with linear linkage specificity"
"ENSG00000173545",-1.04463473064505,4.51902940544707,-4.85044145417599,5.41926599047062e-06,0.0117498718783387,3.79166133192245,"90441","ZNF622","zinc finger protein 622"
"ENSG00000280213",-1.9714901729067,-1.86400672631417,-4.81808953465534,6.15818333084915e-06,0.0123248933770795,3.51741163973078,"100113386","UCKL1-AS1","UCKL1 antisense RNA 1"
"ENSG00000038382",-1.32475358345649,7.46474057137999,-4.73052560780781,8.68468785231774e-06,0.012858068588912,3.34419690212307,"7204","TRIO","trio Rho guanine nucleotide exchange factor"
"ENSG00000152620",-1.57770450317432,5.14580313203856,-4.71124229826087,9.3636365627035e-06,0.012858068588912,3.26249995154806,"133686","NADK2","NAD kinase 2, mitochondrial"
"ENSG00000153395",-1.42432169102716,6.4160439012242,-4.71052724421754,9.38978027478393e-06,0.012858068588912,3.26103857374047,"79888","LPCAT1","lysophosphatidylcholine acyltransferase 1"
"ENSG00000184903",1.19226946593524,2.8735909586164,4.65463564613497,1.16682902163491e-05,0.0151792787424485,3.11410641890897,"83943","IMMP2L","inner mitochondrial membrane peptidase subunit 2"
"ENSG00000258932",-3.09557897791454,-5.19700800558272,-4.77037408795207,7.42990711968064e-06,0.012858068588912,3.06506598071863,"326323","RPS27AP4","RPS27A pseudogene 4"
"ENSG00000150938",1.86858025886668,8.24930920692542,4.6227132104329,1.32017563332815e-05,0.0156128771036053,2.93682122905204,"51232","CRIM1","cysteine rich transmembrane BMP regulator 1"
"ENSG00000172167",-1.3174364437279,2.98139483800808,-4.57417249087421,1.59147005796709e-05,0.0165627471872751,2.83240167503998,"27085","MTBP","MDM2 binding protein"
"ENSG00000112972",-1.52526051148546,6.07370481963387,-4.58986865581445,1.49831107045124e-05,0.0165542750671725,2.82037082140321,"3157","HMGCS1","3-hydroxy-3-methylglutaryl-CoA synthase 1"
"ENSG00000188153",2.83784091083722,6.08571019625466,4.50478449690544,2.07505466675e-05,0.0195358432665797,2.58377920737676,"1287","COL4A5","collagen type IV alpha 5 chain"
"ENSG00000071539",-2.02786733895601,3.41647165757788,-4.50293198261002,2.08974352720828e-05,0.0195358432665797,2.55006120476547,"9319","TRIP13","thyroid hormone receptor interactor 13"
"ENSG00000122966",-1.27440571315727,3.94863138741133,-4.50134530730263,2.10240453326248e-05,0.0195358432665797,2.53456563707636,"11113","CIT","citron rho-interacting serine/threonine kinase"
"ENSG00000163995",2.49833137956952,3.70999806165403,4.46906241396117,2.37674052964676e-05,0.0199477532581772,2.47423230875665,"84448","ABLIM2","actin binding LIM protein family member 2"
"ENSG00000113569",-1.21643746529385,5.26053191136375,-4.48022644295343,2.27816444934527e-05,0.0197577608810218,2.42406025971547,"9631","NUP155","nucleoporin 155"
"ENSG00000221882",-3.57078769363351,-3.5097808025451,-4.42179821099461,2.84176963037255e-05,0.0219364257900202,2.1588399963543,"4995","OR3A2","olfactory receptor family 3 subfamily A member 2"
"ENSG00000172244",-1.28161004149551,2.16395262736251,-4.36162928977652,3.56228121351565e-05,0.0238889182738716,2.11773379204867,"375444","C5orf34","chromosome 5 open reading frame 34"
"ENSG00000253967",-3.63237014940239,-3.44848660481745,-4.37260061154916,3.41891786488079e-05,0.0238889182738716,2.02679614834889,"101926892","LINC03020","long intergenic non-protein coding RNA 3020"
"ENSG00000215475",-2.56995615411404,-2.05491516236927,-4.35681794648285,3.62696759050237e-05,0.0238889182738716,2.01884765675118,"283514","SIAH3","siah E3 ubiquitin protein ligase family member 3"
"ENSG00000169908",2.97522599039168,9.33845670760153,4.3578257209807,3.61332526228086e-05,0.0238889182738716,1.99522295800096,"4071","TM4SF1","transmembrane 4 L six family member 1"
"ENSG00000172262",-1.02919119597465,5.22107757156012,-4.34034915739229,3.85708337393833e-05,0.0238889182738716,1.93065187167918,"7690","ZNF131","zinc finger protein 131"
"ENSG00000120885",2.93476311876455,8.46609971146618,4.33432627963997,3.94471065299318e-05,0.0238889182738716,1.90956762196407,"1191","CLU","clusterin"
"ENSG00000151376",1.61051844844342,4.90435139802226,4.26246464568458,5.15030861363053e-05,0.0297779398909865,1.76954088274488,"10873","ME3","malic enzyme 3"
"ENSG00000222041",-1.2283536243073,4.05650926357514,-4.23637622594488,5.67033895756446e-05,0.0303412269360552,1.61169927452482,"112597","CYTOR","cytoskeleton regulator RNA"
"ENSG00000168724",-1.15472778590918,5.5017864842367,-4.23513231786233,5.69635801138827e-05,0.0303412269360552,1.5636020953027,"134218","DNAJC21","DnaJ heat shock protein family (Hsp40) member C21"
"ENSG00000256087",-1.62891774775258,4.80541723679816,-4.22879025845159,5.83081461604566e-05,0.0303412269360552,1.54980359347618,"9668","ZNF432","zinc finger protein 432"
"ENSG00000145248",-2.46654257043861,-2.50211334056787,-4.20749216242456,6.30509188637408e-05,0.0321658589607217,1.52093139109017,"201780","SLC10A4","solute carrier family 10 member 4"
"ENSG00000205838",-1.55487024565115,-0.382724507568077,-4.15406998547827,7.66384750968226e-05,0.0354040412578448,1.40918685550625,"153657","TTC23L","tetratricopeptide repeat domain 23 like"
"ENSG00000240583",2.31006707616952,8.75378939859722,4.18551176771123,6.83343256365656e-05,0.0341908170079262,1.39615449649749,"358","AQP1","aquaporin 1 (Colton blood group)"
"ENSG00000039560",-1.72467883748307,6.76758732413031,-4.17723094307821,7.0433251892884e-05,0.0345760820330011,1.37587264711935,"26064","RAI14","retinoic acid induced 14"
"ENSG00000144406",-2.59739110015155,-2.65171275184741,-4.16051480637554,7.48608912527498e-05,0.0354040412578448,1.3735836374415,"285175","UNC80","unc-80 subunit of NALCN channel complex"
"ENSG00000258038",-2.73683358428607,-5.79192299912798,-4.23164458535757,5.76992650161406e-05,0.0303412269360552,1.34461607289918,"102724917","LINC02327","long intergenic non-protein coding RNA 2327"
"ENSG00000171421",-1.12260223151591,3.99026670960272,-4.13325470247135,8.26612508246916e-05,0.0358837982540362,1.2628830697226,"64979","MRPL36","mitochondrial ribosomal protein L36"
"ENSG00000255980",-2.83737756357725,-4.01155885595741,-4.15077516259747,7.75628546274562e-05,0.0354040412578448,1.24832709039689,"102724265","LINC02953","long intergenic non-protein coding RNA 2953"
"ENSG00000113494",-2.21886100802321,0.700716554871913,-4.093236649564,9.55428806002639e-05,0.0378132969193791,1.23432455077395,"5618","PRLR","prolactin receptor"
"ENSG00000168280",-1.8710461085403,1.28094735044918,-4.08988565354149,9.67050065358851e-05,0.0378132969193791,1.22063847425103,"3800","KIF5C","kinesin family member 5C"
"ENSG00000186806",-1.4881177180696,1.81212516795365,-4.06492240097579,0.000105799735851593,0.0387703877096726,1.13640273394347,"147645","VSIG10L","V-set and immunoglobulin domain containing 10 like"
"ENSG00000133134",3.4252830583642,2.04225646941079,4.07072556497936,0.000103614964370203,0.038761029699536,1.11413354831515,"84707","BEX2","brain expressed X-linked 2"
"ENSG00000144395",-1.4340990963239,1.78915160729735,-4.04561706369568,0.000113390571453307,0.0409749428898907,1.07403878654321,"284992","CCDC150","coiled-coil domain containing 150"
"ENSG00000182111",-3.70006529168005,-5.17362373656243,-4.09778803425379,9.39859264314122e-05,0.0378132969193791,1.05275440441863,"441234","ZNF716","zinc finger protein 716"
"ENSG00000285437",-1.06061076871442,1.38413131557238,-4.02580849809785,0.000121721228438221,0.0422259056200751,1.02002198859746,"548644","POLR2J3","RNA polymerase II subunit J3"
